Time [s],Raw altitude [km],Raw speed [m/s],Smoothed altitude [km],Smoothed speed [m/s],Downrange distance [km],Horizontal speed [m/s],Vertical speed [m/s],Net acceleration [m/s^2],Horizontal acceleration [m/s^2],Vertical acceleration [m/s^2],Mach number,Dynamic pressure [kPa],Specific orbital energy [MJ/kg],Perigee altitude [km]
0,0,0,-0.4,-13.3,0.0,0.0,23.0,2.0,-0.2,2.0,-0.0,0.1,-62.5,-6372.0
1,0,0,-0.3,-8.1,0.0,0.0,24.8,2.1,-0.1,2.1,-0.0,0.0,-62.5,-6372.0
2,0,0,-0.3,-2.8,0.0,0.0,27.0,2.2,0.0,2.2,-0.0,0.0,-62.5,-6362.0
3,0,4,-0.2,2.4,0.0,0.0,29.1,2.4,0.2,2.4,0.0,0.0,-62.5,-6362.0
4,0,7,-0.2,7.7,0.0,0.0,31.3,2.5,0.3,2.5,0.0,0.0,-62.5,-6362.0
5,0,12,-0.1,13.0,0.0,0.0,33.4,2.6,0.4,2.6,0.0,0.1,-62.5,-6362.0
6,0,14,-0.1,18.2,0.0,0.0,36.1,2.8,0.6,2.7,0.1,0.2,-62.5,-6362.0
7,0,21,-0.0,23.5,0.0,0.0,39.3,2.9,0.7,2.9,0.1,0.3,-62.5,-6362.0
8,0,26,0.0,28.7,0.0,0.0,42.6,3.1,0.8,3.0,0.1,0.5,-62.5,-6362.0
9,0,31,0.0,34.0,0.0,0.0,45.8,3.3,0.9,3.1,0.1,0.7,-62.5,-6362.0
10,0,36,0.1,39.3,0.0,0.0,49.0,3.4,1.1,3.3,0.1,0.9,-62.5,-6362.0
11,0,42,0.1,44.5,0.0,0.0,52.2,3.6,1.2,3.4,0.1,1.2,-62.5,-6362.0
12,0,47,0.2,49.8,0.0,0.0,56.0,3.8,1.3,3.5,0.1,1.5,-62.5,-6362.0
13,0,51,0.2,55.0,0.0,0.0,60.3,3.9,1.5,3.6,0.2,1.8,-62.5,-6362.0
14,0,58,0.3,60.3,0.0,0.0,64.6,4.1,1.6,3.8,0.2,2.2,-62.5,-6362.0
15,0,64,0.3,65.5,0.0,0.0,68.9,4.3,1.7,3.9,0.2,2.6,-62.5,-6362.0
16,0,68,0.4,70.5,0.0,0.0,72.2,4.4,1.8,4.0,0.2,2.9,-62.5,-6362.0
17,0,73,0.5,75.7,0.0,0.0,76.1,4.5,1.9,4.1,0.2,3.4,-62.4,-6362.0
18,0,79,0.5,81.1,0.0,13.7,79.9,4.7,1.9,4.2,0.2,3.8,-62.4,-6361.4
19,0,84,0.6,86.6,0.0,21.9,83.7,4.8,2.0,4.4,0.3,4.3,-62.4,-6361.0
20,0,90,0.6,92.1,0.1,26.8,88.1,4.9,2.0,4.5,0.3,4.9,-62.4,-6360.8
21,0,96,0.7,97.7,0.1,29.8,93.1,5.0,2.0,4.6,0.3,5.4,-62.4,-6360.6
22,1,102,0.8,103.4,0.1,33.2,98.0,5.1,2.1,4.7,0.3,6.0,-62.4,-6360.5
23,1,110,0.9,109.2,0.2,38.0,102.4,5.2,2.2,4.7,0.3,6.7,-62.4,-6360.2
24,1,113,1.0,114.9,0.2,42.5,106.7,5.3,2.2,4.8,0.3,7.3,-62.4,-6360.0
25,1,119,1.1,120.6,0.3,45.6,111.7,5.4,2.2,4.9,0.4,8.0,-62.4,-6359.9
26,1,125,1.2,126.4,0.3,48.9,116.6,5.5,2.2,5.0,0.4,8.7,-62.4,-6359.7
27,1,131,1.4,132.2,0.4,50.7,122.0,5.6,2.2,5.1,0.4,9.4,-62.4,-6359.6
28,1,137,1.5,138.0,0.4,51.5,128.0,5.6,2.3,5.1,0.4,10.1,-62.4,-6359.6
29,1,143,1.6,143.9,0.5,52.3,134.0,5.7,2.4,5.2,0.4,10.8,-62.4,-6359.5
30,2,149,1.7,149.7,0.5,53.1,140.0,5.7,2.4,5.2,0.4,11.6,-62.4,-6359.5
31,2,155,1.9,155.7,0.6,54.8,145.7,5.8,2.5,5.2,0.5,12.3,-62.4,-6359.4
32,2,161,2.1,161.6,0.6,57.3,151.1,5.9,2.6,5.3,0.5,13.1,-62.4,-6359.3
33,2,167,2.2,167.5,0.7,59.8,156.5,5.9,2.5,5.3,0.5,13.8,-62.4,-6359.1
34,2,174,2.4,173.4,0.7,61.0,162.4,5.8,2.1,5.4,0.5,14.6,-62.4,-6359.1
35,2,179,2.6,179.4,0.8,60.6,168.8,5.8,2.0,5.4,0.5,15.3,-62.4,-6359.1
36,3,186,2.8,185.3,0.9,61.6,174.7,5.8,2.0,5.4,0.6,16.0,-62.4,-6359.0
37,3,192,3.0,191.2,0.9,64.0,180.1,5.8,2.0,5.4,0.6,16.7,-62.4,-6358.9
38,3,199,3.1,197.0,1.0,66.4,185.5,5.8,1.9,5.4,0.6,17.4,-62.4,-6358.8
39,3,202,3.3,202.8,1.1,68.6,190.9,5.8,1.8,5.5,0.6,18.1,-62.4,-6358.7
40,3,208,3.5,208.6,1.1,69.3,196.8,5.8,1.7,5.5,0.6,18.8,-62.4,-6358.6
41,3,215,3.7,214.4,1.2,68.4,203.2,5.8,1.7,5.5,0.7,19.4,-62.4,-6358.7
42,4,220,3.9,220.2,1.3,68.8,209.1,5.8,1.7,5.5,0.7,20.0,-62.4,-6358.7
43,4,228,4.2,225.9,1.3,70.7,214.5,5.8,1.7,5.5,0.7,20.5,-62.4,-6358.6
44,4,234,4.4,231.5,1.4,72.5,219.9,5.7,1.8,5.5,0.7,21.1,-62.4,-6358.5
45,4,240,4.6,237.2,1.5,74.1,225.3,5.7,1.9,5.4,0.7,21.6,-62.4,-6358.4
46,5,248,4.8,242.8,1.6,75.7,230.6,5.7,1.9,5.4,0.8,22.1,-62.3,-6358.3
47,5,251,5.1,248.4,1.6,79.0,235.5,5.7,1.9,5.4,0.8,22.6,-62.3,-6358.1
48,5,257,5.3,254.0,1.7,82.1,240.3,5.7,1.9,5.4,0.8,23.0,-62.3,-6357.9
49,5,262,5.5,259.6,1.8,83.7,245.7,5.7,2.0,5.4,0.8,23.4,-62.3,-6357.9
50,6,268,5.8,265.1,1.9,85.2,251.1,5.8,2.1,5.4,0.8,23.7,-62.3,-6357.8
51,6,273,6.1,270.7,2.0,88.3,255.9,5.8,2.3,5.3,0.9,24.0,-62.3,-6357.6
52,6,279,6.3,276.3,2.1,92.8,260.2,5.8,2.3,5.3,0.9,24.3,-62.3,-6357.4
53,6,284,6.6,281.9,2.2,94.4,265.6,5.8,2.4,5.3,0.9,24.6,-62.3,-6357.3
54,7,289,6.8,287.4,2.3,94.4,271.5,5.8,2.4,5.3,0.9,24.8,-62.3,-6357.3
55,7,294,7.1,293.1,2.4,96.2,276.9,5.9,2.5,5.3,0.9,25.0,-62.3,-6357.2
56,7,299,7.4,298.8,2.5,98.0,282.3,5.9,2.7,5.3,1.0,25.1,-62.3,-6357.1
57,8,303,7.7,304.5,2.6,99.9,287.6,6.0,2.9,5.3,1.0,25.2,-62.3,-6357.0
58,8,308,8.0,310.2,2.7,103.5,292.5,6.1,3.0,5.3,1.0,25.3,-62.3,-6356.8
59,8,313,8.3,316.0,2.8,107.0,297.3,6.1,3.1,5.3,1.0,25.4,-62.3,-6356.6
60,8,318,8.6,321.8,2.9,109.2,302.7,6.2,3.3,5.3,1.1,25.4,-62.3,-6356.4
61,9,323,8.9,327.7,3.0,111.6,308.1,6.3,3.4,5.3,1.1,25.4,-62.3,-6356.3
62,9,329,9.2,333.5,3.1,114.0,313.4,6.4,3.6,5.3,1.1,25.4,-62.3,-6356.2
63,9,334,9.5,339.5,3.2,116.7,318.8,6.5,3.7,5.4,1.1,25.3,-62.3,-6356.0
64,10,340,9.8,345.6,3.3,119.8,324.2,6.6,3.9,5.4,1.2,25.2,-62.2,-6355.8
65,10,346,10.2,351.8,3.5,124.5,329.0,6.8,4.1,5.4,1.2,25.0,-62.2,-6355.6
66,10,352,10.5,358.0,3.6,129.2,333.9,6.9,4.3,5.4,1.2,24.8,-62.2,-6355.3
67,11,358,10.8,364.4,3.7,133.0,339.2,7.0,4.4,5.4,1.2,24.7,-62.2,-6355.1
68,11,365,11.2,370.9,3.9,137.1,344.6,7.2,4.6,5.5,1.3,24.4,-62.2,-6354.8
69,11,371,11.5,377.5,4.0,140.2,350.5,7.3,4.9,5.5,1.3,23.9,-62.2,-6354.6
70,12,378,11.9,384.3,4.1,143.6,356.5,7.5,5.2,5.5,1.3,23.4,-62.2,-6354.4
71,12,384,12.3,391.2,4.3,150.1,361.3,7.7,5.4,5.5,1.3,22.9,-62.2,-6354.0
72,12,392,12.6,398.2,4.5,156.6,366.1,7.9,5.7,5.5,1.3,22.4,-62.2,-6353.6
73,13,398,13.0,405.5,4.6,161.3,372.0,8.1,5.9,5.5,1.4,21.9,-62.2,-6353.3
74,13,406,13.4,413.0,4.8,166.4,378.0,8.3,6.2,5.5,1.4,21.4,-62.2,-6353.0
75,13,414,13.8,420.6,5.0,171.9,383.9,8.5,6.4,5.6,1.4,20.9,-62.2,-6352.7
76,14,421,14.2,428.5,5.1,177.9,389.8,8.7,6.7,5.6,1.5,20.4,-62.1,-6352.3
77,14,429,14.5,436.5,5.3,184.3,395.7,8.9,6.9,5.6,1.5,19.9,-62.1,-6351.9
78,15,438,14.9,444.7,5.5,191.0,401.6,9.1,7.2,5.7,1.5,19.5,-62.1,-6351.4
79,15,446,15.4,453.1,5.7,199.1,407.0,9.4,7.4,5.7,1.5,18.9,-62.1,-6350.9
80,16,454,15.7,461.7,5.9,207.6,412.4,9.6,7.7,5.7,1.6,18.5,-62.1,-6350.3
81,16,460,16.2,470.4,6.1,216.3,417.7,9.8,7.9,5.8,1.6,18.0,-62.1,-6349.7
82,16,472,16.6,479.3,6.4,224.1,423.7,10.0,8.1,5.8,1.6,17.5,-62.1,-6349.2
83,17,480,17.0,488.4,6.6,232.4,429.6,10.2,8.3,5.9,1.7,17.0,-62.1,-6348.6
84,17,489,17.5,497.8,6.8,242.2,434.9,10.4,8.6,5.9,1.7,16.4,-62.1,-6348.0
85,18,499,17.9,507.3,7.1,251.1,440.9,10.7,9.0,5.9,1.7,15.9,-62.0,-6347.3
86,18,509,18.3,517.1,7.3,260.3,446.8,10.9,9.2,5.9,1.8,15.5,-62.0,-6346.7
